Dataset,Samples,Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,ROC_AUC_Mean,ROC_AUC_Std
Adult,6000,XGBoost,0.8549288565871634,0.0020883386599037865,0.7260935364723353,0.008258126838971586,0.63267750213858,0.011962291989864695,0.6760787766149268,0.005779422048269483,0.9082063394981764,0.002596655980798018
Adult,8000,CatBoost,0.8671716654724128,0.0010302784432458714,0.7746300002150877,0.0029403380803584506,0.6276304533789563,0.008330036694720417,0.6933891836369985,0.004337302820384739,0.9204470003415512,0.0003798797094805953
Adult,8000,LightGBM,0.8631589722591873,0.0007570831031671493,0.7520235843490573,0.007938014417017808,0.6391787852865697,0.00981233073604548,0.6909340357756838,0.002572318263322467,0.9169324940867444,0.0025554862858286386
Adult,8000,TabPFN,0.8596581021598937,0.0012723720846203365,0.7514902717910612,0.006145155455625148,0.6180496150556031,0.0034083356395443187,0.6782471344213209,0.0017214876696397374,0.9127878506784806,0.0009935854904984656
Adult,8000,XGBoost,0.8573856075340363,0.003922983105565013,0.733583091772992,0.011494261556992413,0.6348160821214713,0.01388398012164341,0.6805407172608904,0.009471229695821318,0.9109986037498794,0.002702188935770671
Adult,12000,CatBoost,0.8705087521752481,0.0014385780860431058,0.7822893573183881,0.0037903264005959736,0.6359281437125748,0.005337031910116014,0.7015454733787514,0.003833658779128658,0.9230251590941192,0.0008324096211673112
Adult,12000,LightGBM,0.8656566690551746,0.001012323498010155,0.7573862220165056,0.006667115433152206,0.6455945252352439,0.00916650365372229,0.6969685796739077,0.0033768363532309578,0.9207374224387029,0.0012646034391024029
Adult,12000,TabPFN,0.8607841130105436,0.0013941896275848499,0.7544095034451577,0.005243692359887114,0.6202737382378101,0.00542204891883512,0.6807757360515476,0.0033563499464153795,0.9141423594934821,0.000597540845411395
Adult,12000,XGBoost,0.8620329614085372,0.0016012785094287325,0.7455638078576428,0.0038825956327781293,0.6429426860564585,0.004323952765132646,0.6904572284821793,0.0037789760196416137,0.9155318695327495,0.0016944246135318704
Adult,16000,CatBoost,0.8719623298188146,0.0014681385291683785,0.783546031932085,0.0014742298629630511,0.6425149700598801,0.008927899095179173,0.7060269487040373,0.005231000346923362,0.9249871846364368,0.00040672471188831904
Adult,16000,LightGBM,0.8691370662299109,0.001972478894723542,0.7666685848234369,0.005747532848413482,0.6515825491873397,0.011318726249113897,0.704393276683421,0.006233704666922657,0.92293762437637,0.0015216700222727773
Adult,16000,TabPFN,0.8614392465963763,0.0010967833134182792,0.755371982906185,0.0025884104906841827,0.622754491017964,0.009037872801161423,0.6826423806731645,0.0047833211335135545,0.914775161597907,0.0005116470490371233
Adult,16000,XGBoost,0.864346401883509,0.0018188093634655864,0.7480868492275358,0.005737367855122611,0.653207869974337,0.007981230923386323,0.6974012772415306,0.004716559075504411,0.9188991876101305,0.0013978779696543083
Adult,24000,CatBoost,0.8732111782168083,0.0008303531493775425,0.787058630253522,0.0018062638073610886,0.6446535500427716,0.005405152495953468,0.7087608315168347,0.0029753561527079975,0.9268487766378541,0.0010050895816956598
Adult,24000,LightGBM,0.8727198280274336,0.0012879243310514087,0.7800272417364162,0.0038001236548383588,0.6520958083832336,0.006261329784487726,0.7103283236481972,0.003704720438223054,0.9262718233870801,0.0009747905704589956
Adult,24000,TabPFN,0.862176271880438,0.0008397643280578922,0.7589073239850013,0.003911954161203981,0.6216424294268605,0.004956709873675991,0.6834320403647179,0.002435351345825811,0.9162691400174449,0.000350269369422433
Adult,24000,XGBoost,0.8679905824547036,0.0020582672367965914,0.7612439455707382,0.006462259975978398,0.6533789563729684,0.003151776463120718,0.7031913038038706,0.0039830361296569715,0.9221456964955838,0.001054171219274616
Adult,32000,CatBoost,0.8749718497287338,0.0012612052681962285,0.792166821239914,0.004502322789568825,0.6474764756201882,0.001186863723311538,0.7125475606508695,0.0023604090941774262,0.9283971822201377,0.00039997143654843157
Adult,32000,LightGBM,0.8741529327464429,0.0008112033066294977,0.7841225333871257,0.002780005301433193,0.6543199315654405,0.0038423087564543467,0.7133562029884775,0.002221158333709944,0.9278697176268604,0.0005933052206795302
Adult,32000,TabPFN,0.8630156617872864,0.0004930533147217725,0.7620349710148604,0.0016268109446314343,0.6218135158254918,0.0029848325615685154,0.6848152169036117,0.0016450853074478217,0.917265900749398,0.00024714490143671426
Adult,32000,XGBoost,0.8710615211382946,0.001353382649690941,0.7695934502513139,0.005091901635380481,0.658426005132592,0.00728122889261477,0.7096500155834139,0.0037636145374730294,0.9253783971361734,0.0007156300023861912
Bank Marketing,10,CatBoost,0.8824947473183679,0.00025458065759642503,0.2941106719367589,0.07785660570910448,0.0037807183364838596,0.0031348060400334626,0.00743311172524958,0.00612512885872817,0.6217244171195282,0.08726928970203209
Bank Marketing,10,LightGBM,0.8830034280659074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Bank Marketing,10,TabPFN,0.8664381289395113,0.02141032097588074,0.31451080667782894,0.3967747666196774,0.03270321361058598,0.030638984319132728,0.04835881572552171,0.04321747822272539,0.6162906820799396,0.11081744629063042
Bank Marketing,10,XGBoost,0.8830034280659074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Bank Marketing,20,CatBoost,0.8831140108371116,0.0006006181848501588,0.4286363636363636,0.30254051326578696,0.0090737240075614,0.009154102089076193,0.01760796749832372,0.0176351503019943,0.6833568257117255,0.04533902950556552
Bank Marketing,20,LightGBM,0.8830034280659074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Bank Marketing,20,TabPFN,0.8826274466438129,0.0008407200180802343,0.06666666666666667,0.14907119849998599,0.00321361058601134,0.0071858517235342916,0.00613165013525698,0.013710786516680387,0.7092472653711531,0.07031760420888641
Bank Marketing,20,XGBoost,0.8830034280659074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Bank Marketing,35,CatBoost,0.8852814331527148,0.0033981493628022375,0.6293480790519801,0.1067023639853738,0.037429111531190884,0.04459705446172583,0.06743729937486376,0.0761713413314422,0.7199164075363425,0.04718107364412194
Bank Marketing,35,LightGBM,0.8830034280659074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Bank Marketing,35,TabPFN,0.8832688267167976,0.0009138981980048309,0.35491270233971867,0.333172211673126,0.021172022684309982,0.025612448396695308,0.038825771308404144,0.04531248858583721,0.7583264935553785,0.0642759284517606
Bank Marketing,35,XGBoost,0.861351321464116,0.02316404208269216,0.2957821988828197,0.18412408923563334,0.09886578449905478,0.05161234450977589,0.13949151465335283,0.06688265131383304,0.6525892830721118,0.11575676346570903
Bank Marketing,50,CatBoost,0.8876700210107267,0.004770079837771357,0.6242045061697393,0.13538228724682128,0.0809073724007561,0.07041302438993684,0.13640802487910483,0.10814797163786048,0.7636467241862992,0.022747874037265397
Bank Marketing,50,LightGBM,0.873073095211766,0.0044518321879628625,0.31452195233664926,0.0661014511929182,0.07939508506616254,0.042348897575084796,0.12391870271654759,0.059541115341257445,0.7441548011216683,0.03137568725127526
Bank Marketing,50,TabPFN,0.8843525378745992,0.005083440798684844,0.41201370301050205,0.24559779886529934,0.10756143667296784,0.09067174305926126,0.16480818169306571,0.13012882065463643,0.7790470790577324,0.050387799217049285
Bank Marketing,50,XGBoost,0.8648457370341701,0.009186160790354935,0.3145994204581933,0.09156826265779344,0.13950850661625708,0.07085569500734981,0.18956371963818086,0.08052360393281689,0.7011103759056737,0.0447903535922352
Bank Marketing,75,CatBoost,0.8865199601902024,0.004676879954631472,0.5913363799011209,0.13064296715092935,0.0869565217391304,0.0667774560267351,0.14516134305846515,0.10006176673108161,0.7789830175435274,0.035325265132372566
Bank Marketing,75,LightGBM,0.8554904345902908,0.007296535824055774,0.2742282010248748,0.040187699563955785,0.14820415879017007,0.05081340298110615,0.1899248085204342,0.05501011905196405,0.712772222965319,0.03365952862780019
Bank Marketing,75,TabPFN,0.8855247152493642,0.005813436304378335,0.5297395548977838,0.10528947378476007,0.1589792060491493,0.10894276176587356,0.22966581216816903,0.1254427791689749,0.8013632721087388,0.03900587813342758
Bank Marketing,75,XGBoost,0.8736923587305098,0.010510134700432295,0.4097357700449571,0.10905137916393247,0.16313799621928163,0.03975713413628886,0.23157045962843217,0.05276009672500776,0.7419087774454228,0.05084871390861251
Bank Marketing,100,CatBoost,0.8885325666261197,0.005363549402975917,0.6169135996766087,0.11451498539535382,0.1145557655954631,0.08812602228652937,0.18166546374738435,0.13256479781930872,0.8279190779497949,0.019997162965525492
Bank Marketing,100,LightGBM,0.8640937741899812,0.008379153640584516,0.3663158962959385,0.05776615807995128,0.22060491493383738,0.03773977923410552,0.2748741770293589,0.044296581648058254,0.7599318665787578,0.039007169219462574
Bank Marketing,100,TabPFN,0.8890191308194183,0.005022454725496137,0.6087086999657357,0.06193280796254483,0.1918714555765595,0.11548029170050784,0.27154756035026406,0.12373007301552286,0.8476686319931156,0.029623105362185986
Bank Marketing,100,XGBoost,0.8744664381289393,0.01038636573816783,0.4328616121819603,0.07649665894841912,0.2374291115311909,0.06198461481642491,0.30471196833018316,0.06772846081697603,0.7665747804543728,0.05331525220555252
Bank Marketing,150,CatBoost,0.88802388587858,0.005791940888821748,0.5620549064620792,0.0862410472858086,0.1357277882797731,0.08014710461266271,0.21257053235692722,0.11349881620906654,0.8483109990021461,0.031693071896908585
Bank Marketing,150,LightGBM,0.87265288068119,0.008920130296246945,0.43255490794448315,0.05403772335123873,0.2765595463137996,0.06766654118771945,0.3337562737461038,0.05970552185843819,0.7984130097429845,0.030634175456812403
Bank Marketing,150,TabPFN,0.8888200818312507,0.006374883359418201,0.6092807425706492,0.08450584388096352,0.19810964083175803,0.1315220023404401,0.2733092337674081,0.14538830613214546,0.8634733840506715,0.01991856072079953
Bank Marketing,150,XGBoost,0.8734711931881012,0.01219031487075054,0.4405394523214271,0.07068382310336142,0.27051039697542534,0.059186659532303496,0.33163783717105727,0.05338498704782411,0.8014596958143401,0.033725563388508385
Bank Marketing,250,CatBoost,0.8897047440008847,0.005303132814735739,0.5835949527832491,0.05228332734482216,0.19054820415879012,0.1093422046198485,0.27358388941356815,0.13209027727592676,0.8681287338144654,0.017981321020630124
Bank Marketing,250,LightGBM,0.8795974787128165,0.002015520794537075,0.46970764659632447,0.019633186872680924,0.23345935727788278,0.02997873634622629,0.3113705829453905,0.029939254305553976,0.8171673612977074,0.015760760872051752
Bank Marketing,250,TabPFN,0.8906999889417229,0.005991708854524996,0.582575337735734,0.03641940589499758,0.22192816635160675,0.12459962287114909,0.3040178741327211,0.15159474335064937,0.8712069179806654,0.01832651560285949
Bank Marketing,250,XGBoost,0.8791993807364813,0.0038748177782751627,0.4683682217480789,0.03355705001346894,0.2525519848771266,0.03720215316502037,0.3275498187516005,0.038848640535490316,0.8155755889173107,0.01698831594618806
