Dataset,Samples,Metric,Model,Mean,Std,N
Adult,750,Accuracy,XGBoost,0.8348039717473641,0.0011034507505957105,5
Adult,750,Accuracy,LightGBM,0.8376701811853824,0.001817368493902905,5
Adult,750,Accuracy,CatBoost,0.8513051489405262,0.0008208340750017011,5
Adult,750,Accuracy,TabPFN,0.8476814412938888,0.0020840693081689604,5
Adult,750,Precision,XGBoost,0.6766715633004787,0.006208074002190685,5
Adult,750,Precision,LightGBM,0.688197977680946,0.010048118928487306,5
Adult,750,Precision,CatBoost,0.7481578040143122,0.018697530035014107,5
Adult,750,Precision,TabPFN,0.7264213547342248,0.017013930876988038,5
Adult,750,Recall,XGBoost,0.5937553464499572,0.02248134844979177,5
Adult,750,Recall,LightGBM,0.5890504704875962,0.021497569347115955,5
Adult,750,Recall,CatBoost,0.5723695466210436,0.023985297164834357,5
Adult,750,Recall,TabPFN,0.5848588537211291,0.03016929277582783,5
Adult,750,F1,XGBoost,0.6322309652873483,0.01026007863455426,5
Adult,750,F1,LightGBM,0.6344716705760377,0.009443292134874704,5
Adult,750,F1,CatBoost,0.6479962792230525,0.008819016451692184,5
Adult,750,F1,TabPFN,0.6473091749515758,0.013135262521257475,5
Adult,750,ROC_AUC,XGBoost,0.87485999222502,0.002468532363996574,5
Adult,750,ROC_AUC,LightGBM,0.8799396592937893,0.0016289103806522306,5
Adult,750,ROC_AUC,CatBoost,0.901003938256482,0.003012886436608514,5
Adult,750,ROC_AUC,TabPFN,0.8987969962376419,0.002497846102001295,5
Adult,1000,Accuracy,XGBoost,0.8371174122223358,0.0035248228918712578,5
Adult,1000,Accuracy,LightGBM,0.8363189681646024,0.0016185267991444367,5
Adult,1000,Accuracy,CatBoost,0.8527791995086498,0.0011385044703367264,5
Adult,1000,Accuracy,TabPFN,0.846944416009827,0.0033149388723333942,5
Adult,1000,Precision,XGBoost,0.6839582079096591,0.017557749854137293,5
Adult,1000,Precision,LightGBM,0.6815690301880116,0.009281898573967618,5
Adult,1000,Precision,CatBoost,0.7463262734876416,0.014822355954297314,5
Adult,1000,Precision,TabPFN,0.7261442503441329,0.008007766330345872,5
Adult,1000,Recall,XGBoost,0.5954662104362703,0.016513936827350938,5
Adult,1000,Recall,LightGBM,0.5940119760479042,0.0207241531557611,5
Adult,1000,Recall,CatBoost,0.5839178785286568,0.01636370078090701,5
Adult,1000,Recall,TabPFN,0.5792985457656117,0.0299807252451041,5
Adult,1000,F1,XGBoost,0.6363095499880022,0.004387545371037312,5
Adult,1000,F1,LightGBM,0.6345070377332653,0.008881063637068934,5
Adult,1000,F1,CatBoost,0.6549132634598186,0.004833045192064971,5
Adult,1000,F1,TabPFN,0.6439909429220736,0.016808126352016835,5
Adult,1000,ROC_AUC,XGBoost,0.8810246742226949,0.003894598754065661,5
Adult,1000,ROC_AUC,LightGBM,0.8832272590754819,0.0020194573790697735,5
Adult,1000,ROC_AUC,CatBoost,0.9029006638663384,0.002330755615189575,5
Adult,1000,ROC_AUC,TabPFN,0.9002820128242277,0.0016125985929187224,5
Adult,1500,Accuracy,XGBoost,0.8401883509059269,0.0036389147649977865,5
Adult,1500,Accuracy,LightGBM,0.8415395639267069,0.00223098523059715,5
Adult,1500,Accuracy,CatBoost,0.8551335858327362,0.0006409039141160098,5
Adult,1500,Accuracy,TabPFN,0.851673661582557,0.0016265993020852748,5
