Dataset,Metric,Model_A,Model_B,N,Mean_A,Mean_B,Mean_Difference_A_minus_B,Difference_SD,CI95_Low,CI95_High,Wilcoxon_Statistic,Wilcoxon_p,Rank_Biserial_Effect,Significant_p05,Holm_Adjusted_p,Significant_Holm_p05,Direction,Effect_Strength
Bank Marketing,Accuracy,TabPFN,XGBoost,105,0.8979752821177128,0.8873846121440946,0.010590669973618102,0.0106838821274213,0.008547095309503403,0.0126342446377328,209.0,1.6756435722732207e-15,0.9172277227722773,True,7.037703003547527e-14,True,TabPFN higher,Large
Bank Marketing,Accuracy,TabPFN,LightGBM,105,0.8979752821177128,0.8888127096465038,0.009162572471208979,0.010627209098347953,0.0071298380208828305,0.011195306921535128,224.0,6.1272137777427744e-15,0.9080601937744794,True,2.389613373319682e-13,True,TabPFN higher,Large
Bank Marketing,Accuracy,TabPFN,CatBoost,105,0.8979752821177128,0.896732542403227,0.001242739714485814,0.006557541187138282,-1.1563250400873021e-05,0.0024970426793725006,1144.0,2.700967412554303e-07,0.5805860805860806,True,6.752418531385758e-06,True,TabPFN higher,Large
Bank Marketing,Precision,TabPFN,XGBoost,105,0.5660708395017544,0.4676193272885942,0.09845151221316015,0.13075280321599034,0.07344158485460495,0.12346143957171535,239.0,3.841009775346632e-15,0.9053465346534654,True,1.536403910138653e-13,True,TabPFN higher,Large
Bank Marketing,Precision,TabPFN,LightGBM,105,0.5660708395017544,0.45519363646547056,0.11087720303628378,0.15844491734845764,0.08057042738214168,0.14118397869042587,84.0,1.0651716968559795e-16,0.9653679653679653,True,4.5802382964807116e-15,True,TabPFN higher,Large
Bank Marketing,Precision,TabPFN,CatBoost,105,0.5660708395017544,0.602207013939665,-0.03613617443791058,0.17884904550276587,-0.07034577856228383,-0.0019265703135373305,2628.0,0.869340746482015,-0.018670649738610903,False,1.0,False,TabPFN lower,Negligible
Bank Marketing,Recall,TabPFN,XGBoost,105,0.32014582770726435,0.30452786029345574,0.01561796741380862,0.07349225317885728,0.0015606327470824369,0.0296753020805348,1522.0,0.0008801295744557653,0.38545454545454544,True,0.014082073191292245,True,TabPFN higher,Medium
Bank Marketing,Recall,TabPFN,LightGBM,105,0.32014582770726435,0.2860563507066342,0.03408947700063012,0.06652540091958621,0.02136473685300062,0.04681421714825962,864.0,3.141682284772366e-08,0.6441970727685014,True,8.168373940408152e-07,True,TabPFN higher,Large
Bank Marketing,Recall,TabPFN,CatBoost,105,0.32014582770726435,0.27213970654424335,0.048006121163020984,0.048417296613424914,0.0387450342768066,0.057267208049235366,410.0,1.37083259255463e-13,0.843898724538359,True,4.934997333196668e-12,True,TabPFN higher,Large
Bank Marketing,F1,TabPFN,XGBoost,105,0.3860451417395974,0.3645421731383709,0.021502968601226538,0.07523708708020806,0.007111888362304541,0.03589404884014853,1224.0,7.703578910382858e-06,0.5152475247524753,True,0.00016947873602842287,True,TabPFN higher,Large
Bank Marketing,F1,TabPFN,LightGBM,105,0.3860451417395974,0.3478876840350179,0.038157457704579456,0.06508812718355986,0.025707634123541642,0.05060728128561727,736.0,2.1391325829762642e-09,0.6965574108431252,True,5.98957123233354e-08,True,TabPFN higher,Large
Bank Marketing,F1,TabPFN,CatBoost,105,0.3860451417395974,0.3464182391785499,0.039626902561047485,0.0535240802877124,0.029389008405020275,0.049864796717074694,539.0,1.962311611080114e-12,0.7987303958177745,True,6.671859477672387e-11,True,TabPFN higher,Large
Bank Marketing,ROC_AUC,TabPFN,XGBoost,105,0.871611011352019,0.8144820693765252,0.0571289419754938,0.05680600927307572,0.04626329221116591,0.0679945917398217,86.0,6.6838504001286246e-18,0.9690925426774484,True,2.9408941760565946e-16,True,TabPFN higher,Large
Bank Marketing,ROC_AUC,TabPFN,LightGBM,105,0.871611011352019,0.8114907474874831,0.06012026386453627,0.07104966431677011,0.04653013883695414,0.0737103888921184,57.0,2.9618388291606444e-18,0.9795148247978437,True,1.33282747312229e-16,True,TabPFN higher,Large
Bank Marketing,ROC_AUC,TabPFN,CatBoost,105,0.871611011352019,0.8581072418787747,0.01350376947324438,0.01894203104140085,0.009880605696125472,0.01712693325036329,456.0,1.0270318365987538e-13,0.8361185983827494,True,3.800017795415389e-12,True,TabPFN higher,Large
Credit-G,Accuracy,TabPFN,XGBoost,50,0.7145000000000001,0.6975,0.016999999999999994,0.029554515522253133,0.008807906250536433,0.025192093749463556,243.5,0.00040547125669718317,0.5935374149659864,True,0.006893011363852114,True,TabPFN higher,Large
Credit-G,Accuracy,TabPFN,LightGBM,50,0.7145000000000001,0.704,0.010500000000000002,0.029730936268953435,0.0022590049144536,0.018740995085546407,246.0,0.006079910055293604,0.4714587737843552,True,0.08511874077411045,False,TabPFN higher,Medium
