Dataset,Training_Regime,Metric,Comparison,N,TabPFN_Mean,Tree_Mean,Mean_Difference,Difference_SD
Adult,Large,F1,TabPFN vs CatBoost,50,0.6747224783879129,0.6893785207078865,-0.01465604231997373,0.01021669293238123
Adult,Large,ROC_AUC,TabPFN vs XGBoost,50,0.9116306265144317,0.9076159751550592,0.004014651359372479,0.009192226617697042
Adult,Large,ROC_AUC,TabPFN vs LightGBM,50,0.9116306265144317,0.9122786107812059,-0.0006479842667741332,0.008776684645322561
Adult,Large,ROC_AUC,TabPFN vs CatBoost,50,0.9116306265144317,0.9182169757031297,-0.0065863491886979575,0.0036066345896425245
Bank Marketing,Small,Accuracy,TabPFN vs XGBoost,30,0.8818717977072504,0.8733937852482582,0.008478012458992228,0.019111254830120532
Bank Marketing,Small,Accuracy,TabPFN vs LightGBM,30,0.8818717977072504,0.8736112646982932,0.008260533008957193,0.018805735171110824
Bank Marketing,Small,Accuracy,TabPFN vs CatBoost,30,0.8818717977072504,0.885602123189207,-0.0037303254819565685,0.010062128424806683
Bank Marketing,Small,Precision,TabPFN vs XGBoost,30,0.38109202225970595,0.24216316692798842,0.1389288553317176,0.22881732540741492
Bank Marketing,Small,Precision,TabPFN vs LightGBM,30,0.38109202225970595,0.15917767494291044,0.22191434731679552,0.25164475959549826
Bank Marketing,Small,Precision,TabPFN vs CatBoost,30,0.38109202225970595,0.5307582667287618,-0.14966624446905596,0.3033471855165514
Bank Marketing,Small,Recall,TabPFN vs XGBoost,30,0.08591682419659732,0.10649023314429737,-0.02057340894770007,0.08250670250799574
Bank Marketing,Small,Recall,TabPFN vs LightGBM,30,0.08591682419659732,0.074700693131695,0.01121613106490232,0.06934869598953702
Bank Marketing,Small,Recall,TabPFN vs CatBoost,30,0.08591682419659732,0.05545053560176429,0.030466288594833035,0.06727151490552098
Bank Marketing,Small,F1,TabPFN vs XGBoost,30,0.1265562985634469,0.14422294370835817,-0.01766664514491123,0.09695743739787957
Bank Marketing,Small,F1,TabPFN vs LightGBM,30,0.1265562985634469,0.09811961471105676,0.02843668385239017,0.08151731055321237
Bank Marketing,Small,F1,TabPFN vs CatBoost,30,0.1265562985634469,0.09261886838056525,0.033937430182881693,0.08647306177809147
Bank Marketing,Small,ROC_AUC,TabPFN vs XGBoost,30,0.7519905706943429,0.6436972028129302,0.10829336788141282,0.08373211509731483
Bank Marketing,Small,ROC_AUC,TabPFN vs LightGBM,30,0.7519905706943429,0.6194764817776242,0.13251408891671887,0.09771030030254525
Bank Marketing,Small,ROC_AUC,TabPFN vs CatBoost,30,0.7519905706943429,0.7325910783412029,0.01939949235314011,0.03358917586342114
Bank Marketing,Medium,Accuracy,TabPFN vs XGBoost,25,0.8953267720889087,0.8823885878580117,0.012938184230896791,0.005668378361766816
Bank Marketing,Medium,Accuracy,TabPFN vs LightGBM,25,0.8953267720889087,0.8829415017140331,0.012385270374875579,0.005846960545783217
Bank Marketing,Medium,Accuracy,TabPFN vs CatBoost,25,0.8953267720889087,0.8930885767997345,0.002238195289173932,0.0036910578814945837
