Dataset,Samples,Baseline,Metric,TabPFN_Mean,Baseline_Mean,Difference
Adult,50,CatBoost,Precision,0.689221163777768,0.7100153564123575,-0.02079419263458948
Adult,50,CatBoost,Recall,0.40290846877673225,0.36655260906757914,0.036355859709153115
Adult,50,CatBoost,F1,0.48185549131903976,0.4568254023488848,0.025030088970154962
Adult,50,CatBoost,ROC_AUC,0.8428826699792641,0.8227974237809633,0.020085246198300766
Adult,75,XGBoost,Accuracy,0.8172177295526666,0.7815743678984542,0.035643361654212335
Adult,75,XGBoost,Precision,0.6747096899180178,0.5680299838159942,0.1066797061020236
Adult,75,XGBoost,Recall,0.48528656971770745,0.4555175363558597,0.029769033361847774
Adult,75,XGBoost,F1,0.5495195469378433,0.49344489965622723,0.0560746472816161
Adult,75,XGBoost,ROC_AUC,0.851332613623897,0.7902558398975738,0.06107677372632325
Adult,75,LightGBM,Accuracy,0.8172177295526666,0.7782782270447333,0.03893950250793332
Adult,75,LightGBM,Precision,0.6747096899180178,0.5530770221179212,0.12163266780009663
Adult,75,LightGBM,Recall,0.48528656971770745,0.4907613344739093,-0.005474764756201844
Adult,75,LightGBM,F1,0.5495195469378433,0.5080362807356696,0.041483266202173685
Adult,75,LightGBM,ROC_AUC,0.851332613623897,0.7905248963403144,0.060807717283582585
Adult,75,CatBoost,Accuracy,0.8172177295526666,0.8136349677551438,0.0035827617975228154
Adult,75,CatBoost,Precision,0.6747096899180178,0.6909128971035937,-0.016203207185575885
Adult,75,CatBoost,Recall,0.48528656971770745,0.42403763900769886,0.06124893071000859
Adult,75,CatBoost,F1,0.5495195469378433,0.516073288656688,0.03344625828115533
Adult,75,CatBoost,ROC_AUC,0.851332613623897,0.840631488623192,0.01070112500070497
Adult,100,XGBoost,Accuracy,0.8173815129491248,0.7896816460231344,0.027699866925990357
Adult,100,XGBoost,Precision,0.6711618249207618,0.5895108634625814,0.0816509614581804
Adult,100,XGBoost,Recall,0.5144568006843456,0.4733105218135158,0.04114627887082983
Adult,100,XGBoost,F1,0.5658925104694654,0.5110071069843178,0.05488540348514759
Adult,100,XGBoost,ROC_AUC,0.8619097291891793,0.7985872594162272,0.06332246977295208
Adult,100,LightGBM,Accuracy,0.8173815129491248,0.7842358480908997,0.03314566485822501
Adult,100,LightGBM,Precision,0.6711618249207618,0.5720738278299269,0.09908799709083493
Adult,100,LightGBM,Recall,0.5144568006843456,0.4654405474764756,0.04901625320787001
Adult,100,LightGBM,F1,0.5658925104694654,0.50120171606879,0.06469079440067538
Adult,100,LightGBM,ROC_AUC,0.8619097291891793,0.7925524865834396,0.06935724260573972
Adult,100,CatBoost,Accuracy,0.8173815129491248,0.8197154263486539,-0.0023339133995291528
Adult,100,CatBoost,Precision,0.6711618249207618,0.6982165764948789,-0.027054751574117075
Adult,100,CatBoost,Recall,0.5144568006843456,0.4643284858853721,0.050128314798973506
Adult,100,CatBoost,F1,0.5658925104694654,0.5488746191913638,0.017017891278101605
Adult,100,CatBoost,ROC_AUC,0.8619097291891793,0.8590712283259767,0.0028385008632025865
Adult,150,XGBoost,Accuracy,0.827065206264715,0.8049749206674173,0.022090285597297754
Adult,150,XGBoost,Precision,0.6798509958905079,0.624842239096105,0.05500875679440287
Adult,150,XGBoost,Recall,0.5593669803250642,0.5132591958939264,0.04610778443113772
Adult,150,XGBoost,F1,0.6051320011836931,0.5549984075442541,0.050133593639439034
Adult,150,XGBoost,ROC_AUC,0.8693438315133963,0.8347914932002307,0.03455233831316562
Adult,150,LightGBM,Accuracy,0.827065206264715,0.7971337905619817,0.029931415702733277
Adult,150,LightGBM,Precision,0.6798509958905079,0.5965178793938553,0.08333311649665265
Adult,150,LightGBM,Recall,0.5593669803250642,0.5056458511548332,0.053721129170230975
Adult,150,LightGBM,F1,0.6051320011836931,0.5398849435203364,0.0652470576633567
Adult,150,LightGBM,ROC_AUC,0.8693438315133963,0.8125237154734881,0.05682011603990822
Adult,150,CatBoost,Accuracy,0.827065206264715,0.8297471593817176,-0.002681953117002589
Adult,150,CatBoost,Precision,0.6798509958905079,0.7067371036042873,-0.026886107713779417
Adult,150,CatBoost,Recall,0.5593669803250642,0.5194183062446535,0.039948674080410695
Adult,150,CatBoost,F1,0.6051320011836931,0.5910027617153026,0.014129239468390509
Adult,150,CatBoost,ROC_AUC,0.8693438315133963,0.8724493915450718,-0.0031055600316755028
Adult,250,XGBoost,Accuracy,0.8350905926911659,0.8174634046473539,0.017627188043812025
Adult,250,XGBoost,Precision,0.7021676779280754,0.6479270143723761,0.05424066355569934
Adult,250,XGBoost,Recall,0.5497005988023952,0.5219846022241231,0.027715996578272062
Adult,250,XGBoost,F1,0.6134702066857993,0.5770792570322036,0.03639094965359568
Adult,250,XGBoost,ROC_AUC,0.8860939347442723,0.8553515208466509,0.030742413897621446
Adult,250,LightGBM,Accuracy,0.8350905926911659,0.8118947691677756,0.023195823523390335
Adult,250,LightGBM,Precision,0.7021676779280754,0.6358878813965878,0.06627979653148763
Adult,250,LightGBM,Recall,0.5497005988023952,0.5076133447390931,0.04208725406330205
Adult,250,LightGBM,F1,0.6134702066857993,0.5630470880932397,0.05042311859255966
