Dataset,Training_Regime,Metric,Comparison,N,TabPFN_Mean,Tree_Mean,Mean_Difference,Difference_SD
Credit-G,Small,Accuracy,TabPFN vs XGBoost,30,0.6998,0.6847,0.0152,0.0339
Credit-G,Small,Accuracy,TabPFN vs LightGBM,30,0.6998,0.6962,0.0037,0.0286
Credit-G,Small,Accuracy,TabPFN vs CatBoost,30,0.6998,0.7105,-0.0107,0.0272
Credit-G,Small,Precision,TabPFN vs XGBoost,30,0.7322,0.7456,-0.0134,0.0279
Credit-G,Small,Precision,TabPFN vs LightGBM,30,0.7322,0.7303,0.0019,0.0284
Credit-G,Small,Precision,TabPFN vs CatBoost,30,0.7322,0.7406,-0.0084,0.0206
Credit-G,Small,Recall,TabPFN vs XGBoost,30,0.9083,0.8421,0.0662,0.1017
Credit-G,Small,Recall,TabPFN vs LightGBM,30,0.9083,0.9105,-0.0021,0.0892
Credit-G,Small,Recall,TabPFN vs CatBoost,30,0.9083,0.9045,0.0038,0.0603
Credit-G,Small,F1,TabPFN vs XGBoost,30,0.8083,0.7877,0.0206,0.0345
Credit-G,Small,F1,TabPFN vs LightGBM,30,0.8083,0.806,0.0023,0.0282
Credit-G,Small,F1,TabPFN vs CatBoost,30,0.8083,0.8139,-0.0056,0.0228
Credit-G,Small,ROC_AUC,TabPFN vs XGBoost,30,0.6767,0.6376,0.0391,0.0497
Credit-G,Small,ROC_AUC,TabPFN vs LightGBM,30,0.6767,0.5814,0.0953,0.0745
Credit-G,Small,ROC_AUC,TabPFN vs CatBoost,30,0.6767,0.6922,-0.0155,0.0385
Credit-G,Medium,Accuracy,TabPFN vs XGBoost,20,0.7365,0.7168,0.0198,0.0219
Credit-G,Medium,Accuracy,TabPFN vs LightGBM,20,0.7365,0.7158,0.0208,0.0292
Credit-G,Medium,Accuracy,TabPFN vs CatBoost,20,0.7365,0.7372,-0.0007,0.0306
Credit-G,Medium,Precision,TabPFN vs XGBoost,20,0.7893,0.7868,0.0025,0.0197
Credit-G,Medium,Precision,TabPFN vs LightGBM,20,0.7893,0.7875,0.0018,0.0219
Credit-G,Medium,Precision,TabPFN vs CatBoost,20,0.7893,0.7745,0.0148,0.0183
Credit-G,Medium,Recall,TabPFN vs XGBoost,20,0.8521,0.8168,0.0354,0.0293
Credit-G,Medium,Recall,TabPFN vs LightGBM,20,0.8521,0.8136,0.0386,0.0406
Credit-G,Medium,Recall,TabPFN vs CatBoost,20,0.8521,0.8825,-0.0304,0.0383
Credit-G,Medium,F1,TabPFN vs XGBoost,20,0.8191,0.8013,0.0179,0.0162
Credit-G,Medium,F1,TabPFN vs LightGBM,20,0.8191,0.7998,0.0193,0.0228
Credit-G,Medium,F1,TabPFN vs CatBoost,20,0.8191,0.8245,-0.0054,0.0228
Credit-G,Medium,ROC_AUC,TabPFN vs XGBoost,20,0.7714,0.7292,0.0422,0.0193
Credit-G,Medium,ROC_AUC,TabPFN vs LightGBM,20,0.7714,0.7273,0.0441,0.0246
Credit-G,Medium,ROC_AUC,TabPFN vs CatBoost,20,0.7714,0.7651,0.0063,0.0212
