Accuracy,Precision,Recall,F1,ROC_AUC,Prediction_Time,Model,Samples,Seed,Training_Time
0.7,0.7,1.0,0.8235294117647058,0.5,0.009981438999602688,LightGBM,10,123,0.015728326000498782
0.655,0.7261146496815286,0.8142857142857143,0.7676767676767676,0.5910714285714286,0.01089360000059969,CatBoost,10,123,0.268723121000221
0.655,0.7414965986394558,0.7785714285714286,0.759581881533101,0.5864285714285715,0.6802023889995326,TabPFN,10,123,0.8483166190007978
0.64,0.7615384615384615,0.7071428571428572,0.7333333333333333,0.6414285714285716,0.01076818599995022,XGBoost,20,123,0.04504894899946521
0.7,0.7,1.0,0.8235294117647058,0.5,0.00978990900057397,LightGBM,20,123,0.015360026999587717
0.685,0.7175141242937854,0.9071428571428571,0.8012618296529969,0.6554761904761905,0.010654173000148148,CatBoost,20,123,0.3330578599998262
0.7,0.7,1.0,0.8235294117647058,0.6769047619047619,0.6514287260006313,TabPFN,20,123,0.6351304150002761
0.665,0.738562091503268,0.8071428571428572,0.7713310580204779,0.599047619047619,0.01027303299997584,XGBoost,35,123,0.04536531499979901
0.7,0.7,1.0,0.8235294117647058,0.5,0.010186461999182939,LightGBM,35,123,0.01681964900035382
0.715,0.7243243243243244,0.9571428571428572,0.8246153846153846,0.6601190476190477,0.011084014000516618,CatBoost,35,123,0.3437655099996846
0.71,0.7091836734693877,0.9928571428571429,0.8273809523809523,0.6971428571428571,0.6756260849997489,TabPFN,35,123,0.6687032800000452
0.62,0.7162162162162162,0.7571428571428571,0.7361111111111112,0.5929761904761904,0.009910224999657657,XGBoost,50,123,0.0495783879996452
0.72,0.7333333333333333,0.9428571428571428,0.825,0.5989880952380953,0.010153948000152013,LightGBM,50,123,0.024563816000409133
0.68,0.7209302325581395,0.8857142857142857,0.7948717948717948,0.6836904761904763,0.011173447000146552,CatBoost,50,123,0.35428558199964755
0.68,0.75,0.8142857142857143,0.7808219178082192,0.6865476190476191,0.6797991170005844,TabPFN,50,123,0.6220816530003503
0.69,0.7954545454545454,0.75,0.7720588235294118,0.7002380952380952,0.008891260000382317,XGBoost,75,123,0.04953849800040189
0.715,0.7985611510791367,0.7928571428571428,0.7956989247311828,0.6997619047619048,0.010469200999978057,LightGBM,75,123,0.02756625999973039
0.72,0.7592592592592593,0.8785714285714286,0.8145695364238411,0.7444047619047618,0.010439078999297635,CatBoost,75,123,0.3544737290003468
0.74,0.8055555555555556,0.8285714285714286,0.8169014084507042,0.7436904761904761,0.6670584379999127,TabPFN,75,123,0.6311362970000118
0.705,0.7956204379562044,0.7785714285714286,0.7870036101083032,0.7054761904761904,0.010418001000289223,XGBoost,100,123,0.05583559899969259
0.665,0.7786259541984732,0.7285714285714285,0.7527675276752768,0.6767857142857144,0.011486926000543463,LightGBM,100,123,0.0329062779992455
0.72,0.7530120481927711,0.8928571428571429,0.8169934640522876,0.744642857142857,0.01063463800073805,CatBoost,100,123,0.34393966300012835
0.715,0.7748344370860927,0.8357142857142857,0.8041237113402062,0.7483333333333333,0.6624925570004052,TabPFN,100,123,0.6290259699999297
0.69,0.7708333333333334,0.7928571428571428,0.7816901408450704,0.7336904761904762,0.010561285999756365,XGBoost,150,123,0.06354315799944743
0.695,0.7762237762237763,0.7928571428571428,0.784452296819788,0.7174999999999999,0.010401000999991084,LightGBM,150,123,0.04245957799957978
0.75,0.78125,0.8928571428571429,0.8333333333333334,0.7827380952380952,0.010862604000067222,CatBoost,150,123,0.36539131100016675
0.715,0.7677419354838709,0.85,0.8067796610169492,0.771547619047619,0.6444343060002211,TabPFN,150,123,0.6768225650002933
0.705,0.7682119205298014,0.8285714285714286,0.7972508591065293,0.7483333333333334,0.010325008000108937,XGBoost,250,123,0.0777362170001652
0.7,0.7666666666666667,0.8214285714285714,0.7931034482758621,0.7473809523809524,0.013035164000029908,LightGBM,250,123,0.0668466429997352
0.745,0.7834394904458599,0.8785714285714286,0.8282828282828283,0.7867857142857142,0.010200446999988344,CatBoost,250,123,0.35724504700010584
